Entity,Code,Year,Birth rate - sex: all - age: all - variant: estimates
Afghanistan,AFG,2010,40.60200119018555
Afghanistan,AFG,2011,39.85499954223633
Afghanistan,AFG,2012,40.00899887084961
Afghanistan,AFG,2013,39.60100173950195
Afghanistan,AFG,2014,39.10499954223633
Afghanistan,AFG,2015,38.803001403808594
Afghanistan,AFG,2016,37.93600082397461
Afghanistan,AFG,2017,37.34199905395508
Afghanistan,AFG,2018,36.92699813842773
Afghanistan,AFG,2019,36.46599960327149
Albania,ALB,2010,11.920000076293944
Albania,ALB,2011,12.03499984741211
Albania,ALB,2012,12.22700023651123
Albania,ALB,2013,12.279000282287598
Albania,ALB,2014,12.149999618530272
Albania,ALB,2015,11.718000411987305
Albania,ALB,2016,11.288999557495115
Albania,ALB,2017,10.869999885559082
Albania,ALB,2018,10.517000198364258
Albania,ALB,2019,10.343000411987305
Algeria,DZA,2010,24.45800018310547
Algeria,DZA,2011,24.815000534057617
Algeria,DZA,2012,25.381999969482425
Algeria,DZA,2013,25.23600006103516
Algeria,DZA,2014,25.40399932861328
Algeria,DZA,2015,25.405000686645508
Algeria,DZA,2016,25.166000366210938
Algeria,DZA,2017,24.7549991607666
Algeria,DZA,2018,24.073999404907227
Algeria,DZA,2019,23.29800033569336
Andorra,AND,2010,11.89900016784668
Andorra,AND,2011,11.449000358581545
Andorra,AND,2012,10.605999946594238
Andorra,AND,2013,9.440999984741213
Andorra,AND,2014,9.531999588012695
Andorra,AND,2015,9.927000045776367
Andorra,AND,2016,9.4399995803833
Andorra,AND,2017,8.418999671936035
Andorra,AND,2018,7.947000026702881
Andorra,AND,2019,7.778999805450439
Antigua and Barbuda,ATG,2010,14.71500015258789
Antigua and Barbuda,ATG,2011,14.312999725341797
Antigua and Barbuda,ATG,2012,13.496999740600586
Antigua and Barbuda,ATG,2013,12.468999862670898
Antigua and Barbuda,ATG,2014,12.324999809265137
Antigua and Barbuda,ATG,2015,12.590999603271484
Antigua and Barbuda,ATG,2016,11.659000396728516
Antigua and Barbuda,ATG,2017,11.788999557495115
Antigua and Barbuda,ATG,2018,10.815999984741213
Antigua and Barbuda,ATG,2019,11.484999656677246
Argentina,ARG,2010,17.8700008392334
Argentina,ARG,2011,17.805999755859375
Argentina,ARG,2012,17.729000091552734
Argentina,ARG,2013,17.631999969482422
Argentina,ARG,2014,17.503999710083008
Argentina,ARG,2015,17.34600067138672
Argentina,ARG,2016,16.823999404907227
Argentina,ARG,2017,16.20599937438965
Argentina,ARG,2018,15.187000274658203
Argentina,ARG,2019,14.782999992370604
Armenia,ARM,2010,13.89799976348877
Armenia,ARM,2011,14.04599952697754
Armenia,ARM,2012,15.093999862670898
Armenia,ARM,2013,15.05500030517578
Armenia,ARM,2014,15.842000007629396
Armenia,ARM,2015,14.640999794006348
Armenia,ARM,2016,14.503999710083008
Armenia,ARM,2017,13.605999946594238
Armenia,ARM,2018,13.307000160217283
Armenia,ARM,2019,12.892000198364258
Aruba,ABW,2010,12.192999839782717
Aruba,ABW,2011,12.246000289916992
Aruba,ABW,2012,12.722999572753906
Aruba,ABW,2013,13.315999984741213
Aruba,ABW,2014,13.532999992370604
Aruba,ABW,2015,12.428000450134276
Aruba,ABW,2016,12.300000190734863
Aruba,ABW,2017,11.529999732971191
Aruba,ABW,2018,9.880999565124512
Aruba,ABW,2019,9.137999534606934
Australia,AUS,2010,13.680999755859377
Australia,AUS,2011,13.475000381469728
Australia,AUS,2012,13.54699993133545
Australia,AUS,2013,13.281999588012695
Australia,AUS,2014,12.819000244140623
Australia,AUS,2015,12.869999885559082
Australia,AUS,2016,12.854999542236328
Australia,AUS,2017,12.73900032043457
Australia,AUS,2018,12.87600040435791
Australia,AUS,2019,12.09000015258789
Austria,AUT,2010,9.345999717712402
Austria,AUT,2011,9.293999671936035
Austria,AUT,2012,9.324000358581545
Austria,AUT,2013,9.33199977874756
Austria,AUT,2014,9.517000198364258
Austria,AUT,2015,9.727999687194824
Austria,AUT,2016,9.975000381469728
Austria,AUT,2017,9.925000190734863
Austria,AUT,2018,9.666000366210938
Austria,AUT,2019,9.5649995803833
Azerbaijan,AZE,2010,19.878999710083008
Azerbaijan,AZE,2011,20.22599983215332
Azerbaijan,AZE,2012,20.31800079345703
Azerbaijan,AZE,2013,20.097000122070312
Azerbaijan,AZE,2014,19.61400032043457
Azerbaijan,AZE,2015,18.63800048828125
Azerbaijan,AZE,2016,17.238000869750977
Azerbaijan,AZE,2017,14.71399974822998
Azerbaijan,AZE,2018,14.076000213623049
Azerbaijan,AZE,2019,14.366000175476074
Bahrain,BHR,2010,15.845000267028809
Bahrain,BHR,2011,15.758999824523926
Bahrain,BHR,2012,15.954999923706056
Bahrain,BHR,2013,15.862000465393066
Bahrain,BHR,2014,15.95300006866455
Bahrain,BHR,2015,15.791000366210938
Bahrain,BHR,2016,15.180999755859377
Bahrain,BHR,2017,14.505999565124512
Bahrain,BHR,2018,13.817999839782717
Bahrain,BHR,2019,13.197999954223633
Bangladesh,BGD,2010,21.378999710083008
Bangladesh,BGD,2011,20.569000244140625
Bangladesh,BGD,2012,20.117000579833984
Bangladesh,BGD,2013,19.899999618530277
Bangladesh,BGD,2014,19.53700065612793
Bangladesh,BGD,2015,19.15800094604492
Bangladesh,BGD,2016,19.00200080871582
Bangladesh,BGD,2017,18.4950008392334
Bangladesh,BGD,2018,18.46199989318848
Bangladesh,BGD,2019,18.350000381469727
Barbados,BRB,2010,12.114999771118164
Barbados,BRB,2011,11.845999717712402
Barbados,BRB,2012,11.602999687194824
Barbados,BRB,2013,11.392000198364258
Barbados,BRB,2014,11.220999717712402
Barbados,BRB,2015,11.095000267028809
Barbados,BRB,2016,11.008999824523926
Barbados,BRB,2017,10.95199966430664
Barbados,BRB,2018,10.913000106811523
